case,waveform,Qbar_mLmin,freq_hz,amp,duty,dp_mean_Pa,Ppump_mean_W,Epump_J,Tmax_C,dT_module_K,sigmaT_K,Epump_visc_J,Epump_inert_J,Epump_model_J
gci_duct_coarse_Q2,steady,90.0,0.0,0.0,0.5,0.0066,1e-08,1e-05,31.214,0.141,0.053,,,
dtchk_dt0.0250_Q2,steady,90.0,0.0,0.0,0.5,0.0546,1.2e-07,9.7e-05,31.464,0.227,0.09,,,
dtchk_dt0.0125_Q2,steady,90.0,0.0,0.0,0.5,0.044,9e-08,8.1e-05,31.818,0.241,0.111,,,
bwd_dt0.0500_Q2,steady,90.0,0.0,0.0,0.5,0.0579,1.2e-07,0.000103,31.446,0.221,0.088,,,
dtchk_sine_f0.10_A0.60_dt0.0125,sine,90.0,0.1,0.6,0.5,0.0459,1.1e-07,9.2e-05,31.77,0.196,0.086,,,
bwd_dt0.0250_Q2,steady,90.0,0.0,0.0,0.5,0.0516,1.1e-07,9.2e-05,31.677,0.253,0.109,,,
bwd_dt0.0500_nOC6_Q2,steady,90.0,0.0,0.0,0.5,0.0579,1.2e-07,0.000102,31.542,0.219,0.089,,,
bwd_dt0.0250_nOC6_Q2,steady,90.0,0.0,0.0,0.5,0.0519,1.1e-07,9.2e-05,31.687,0.241,0.103,,,
bwd_dt0.0500_nOC4_Q2,steady,90.0,0.0,0.0,0.5,0.0605,1.3e-07,0.000107,31.514,0.219,0.088,,,
bwd_dt0.0125_Q2,steady,90.0,0.0,0.0,0.5,0.0379,8e-08,7.3e-05,31.96,0.186,0.083,,,
steady_f0.00_A0.00_Q1_C3,steady,50.0,0.0,0.0,0.5,0.0308,4e-08,2.9e-05,32.029,0.245,0.103,3.3e-05,0.0,3.3e-05
steady_f0.00_A0.00_Q2_C3,steady,90.0,0.0,0.0,0.5,0.0379,8e-08,7.3e-05,31.96,0.186,0.083,7.31e-05,0.0,7.31e-05
steady_f0.00_A0.00_Q3_C3,steady,130.0,0.0,0.0,0.5,0.0568,1.8e-07,0.000159,31.836,0.115,0.045,0.0001582,0.0,0.0001582
steady_f0.00_A0.00_Q4_C3,steady,250.0,0.0,0.0,0.5,0.1375,8.2e-07,0.000725,31.538,0.254,0.107,0.0007366,0.0,0.0007366
steady_f0.00_A0.00_Q5_C3,steady,500.0,0.0,0.0,0.5,0.3685,4.39e-06,0.003761,31.007,0.472,0.19,0.003948,0.0,0.003948
sine_f0.10_A0.20_Q2_C3,sine,90.0,0.1,0.2,0.5,0.0378,8e-08,7.4e-05,31.95,0.183,0.08,7.46e-05,0.0,7.46e-05
sine_f0.10_A0.40_Q2_C3,sine,90.0,0.1,0.4,0.5,0.0396,9e-08,7.9e-05,31.949,0.187,0.08,7.89e-05,0.0,7.89e-05
sine_f0.10_A0.60_Q2_C3,sine,90.0,0.1,0.6,0.5,0.0404,1e-07,8.4e-05,31.948,0.193,0.082,8.62e-05,0.0,8.62e-05
sine_f0.25_A0.20_Q2_C3,sine,90.0,0.25,0.2,0.5,0.041,9e-08,7.7e-05,31.951,0.184,0.082,7.46e-05,0.0,7.46e-05
sine_f0.25_A0.40_Q2_C3,sine,90.0,0.25,0.4,0.5,0.0422,1e-07,8.2e-05,31.957,0.186,0.082,7.89e-05,0.0,7.89e-05
sine_f0.25_A0.60_Q2_C3,sine,90.0,0.25,0.6,0.5,0.0564,1.4e-07,9.6e-05,31.349,0.22,0.09,8.62e-05,0.0,8.62e-05
sine_f0.50_A0.20_Q2_C3,sine,90.0,0.5,0.2,0.5,0.0384,8e-08,7.5e-05,31.944,0.171,0.075,7.46e-05,0.0,7.46e-05
sine_f0.50_A0.40_Q2_C3,sine,90.0,0.5,0.4,0.5,0.0455,1e-07,8.5e-05,31.991,0.233,0.099,7.89e-05,0.0,7.89e-05
sine_f0.50_A0.60_Q2_C3,sine,90.0,0.5,0.6,0.5,0.0481,1.2e-07,9.4e-05,31.989,0.238,0.099,8.62e-05,0.0,8.62e-05
