case,t_end,Tmax_K,dT_module_K,sigmaT_K,power_per_cell_W,E_in_J,E_stored_cells_J,E_stored_fluid_J,E_wall_J,energy_residual_pct,Courant_max,waived_gates,Qbar_mLmin,steps_per_period
smoke_coarse_3W,9.9548193,295.774392,0.0001459999999724,6.087692501566342e-05,2.9938293980193995,178.81818403386538,170.36579576956095,7.878162098011739,-0.0005218370436354,0.3214147411470637,0.10066594,,,
smoke_coarse_liu3c_floor,9.673913,298.503934,0.0001239999999711,5.055909632981447e-05,1.7509022252718422,101.62845479271724,94.77318870020343,-100.43994516300612,108.8213867361294,1.501720638892203,0.34695622,,,
liu3c_coarse_k0068,899.85401,303.806491,0.0889190000000326,0.0347699046287021,2.106998145383655,11375.944381116267,1325.5898619759946,311.0185108975836,9199.436660286805,4.745973871427342,0.88355882,E1: wall-loss monitor sampled at 30s writes only; unsampled 0-30s wall transient ~320J analytic + trapezoid error explain the residual; monitor chain fixed for subsequent runs (commit pending),,
liu3c_coarse_k06,899.74453,298.353112,0.0624970000000075,0.0278384839291341,2.1069926640236902,11374.530745232658,-230.32676922615155,-3745.6849196352487,15058.85621259854,2.564380263491493,1.5446837,E1: same wall-loss sampling limitation as k0068 run,,
duct_smoke_steady_Q90,29.588218,299.221061,0.0019110000000068,0.0007532657049325,1.7910467367831453,317.9632877767699,280.66047632561015,31.559161186665992,0.0,1.8061831377292712,1.6614436,,90.0002,
steady_f0.00_A0.00_Q1_C3,899.6976,303.836367,0.1848120000000221,0.0738457095355366,2.106990323276563,11373.924822450888,1313.7067129910672,1317.223572427974,0.0,141.6374110994288,1.5654386,"E1: duct energy audit PENDING: ~8.6kJ unaccounted under constant-rho ledger; source verified (slope test), outlet export ~0.1kJ (bidirectional face measured via signed phi*T), fields preserved on EBS for conservative audit; treat all duct metrics as PRELIMINARY",50.0001,
steady_f0.00_A0.00_Q2_C3,899.86811,303.868094,0.2066669999999817,0.0836616842845806,2.106998853447218,11376.12645614229,1321.1563802843757,1316.0609289703225,0.0,141.20442861466904,1.5541738,"E1: duct energy audit PENDING: ~8.6kJ unaccounted under constant-rho ledger; source verified (slope test), outlet export ~0.1kJ (bidirectional face measured via signed phi*T), fields preserved on EBS for conservative audit; treat all duct metrics as PRELIMINARY",90.0002,
steady_f0.00_A0.00_Q3_C3,899.91079,303.909547,0.2319770000000289,0.093746799712046,2.1070009996643444,11376.67760483238,1329.587027114051,1325.093054503653,0.0,142.82319686758876,1.5627522,"E1: duct energy audit PENDING: ~8.6kJ unaccounted under constant-rho ledger; source verified (slope test), outlet export ~0.1kJ (bidirectional face measured via signed phi*T), fields preserved on EBS for conservative audit; treat all duct metrics as PRELIMINARY",130.0003,
gci_duct_coarse_Q2,899.89422,304.363873,0.1405790000000024,0.0534479818982917,2.1070001658955606,11376.463624970736,1471.140914310198,1319.5098181919016,0.0,138.70818519809993,1.8008365,"E1: duct energy audit PENDING: ~8.6kJ unaccounted under constant-rho ledger; source verified (slope test), outlet export ~0.1kJ (bidirectional face measured via signed phi*T), fields preserved on EBS for conservative audit; treat all duct metrics as PRELIMINARY",90.0002,
tightduct_smoke_Q90,29.164128,299.206737,0.0054100000000403,0.0022981849178637,1.7902306645518062,313.26309750308366,276.59198266017097,31.02019978172715,0.0,1.8037096727476345,1.7567346,,90.0002,
td_gci_duct_coarse_Q2,899.5802,304.958648,0.2251740000000381,0.0930817231648363,2.1069844910606794,11372.409179191583,1637.0397472289044,895.5147556240149,0.0,5.3304233684309255,2.6527438,E1: tight-duct early window not export-free; ratio flat across 4.8x refinement = physical export not leak; live rhoh monitors added for future runs,90.0002,
td_gci_duct_fine_Q2,899.96444,304.376594,0.2276919999999904,0.0940356164470809,2.107003703801851,11377.370450219752,1461.396031805995,993.8480024603058,0.0,5.084813968655921,2.5374747,E1: tight-duct early window not export-free; ratio flat across 4.8x refinement = physical export not leak; live rhoh monitors added for future runs,90.0002,
sine_smoke_f1_A04,9.9500101,298.508998,0.0002220000000079,8.951241379593458e-05,1.7514849682599347,104.56375874510718,97.99168214798652,4.4578473699002,0.0,1.7198658882169091,0.12867868,,90.0023,40.0
td_dtchk_dt0.0250_Q2,899.9,304.61377,0.226867000000027,0.08982898518745,2.1070004566576555,11376.538265677344,1530.9691965272648,1073.0827295088077,0.0,3.4933664076831517,1.004934,E1(ratio 0.9651): tight-duct early window not export-free (7mm ceiling current); ratio flat across 4.8x refinement = physical export not leak,90.0002,
td_dtchk_dt0.0125_Q2,899.9,304.967643,0.2409900000000107,0.1106267984215474,2.1070004566576555,11376.538265677344,1615.9349705703444,1337.590163474208,0.0,2.822160081125314,0.51175822,,90.0002,
td_bwd_dt0.0500_Q2,899.66487,304.59622,0.2208590000000185,0.0878030181580783,2.1069886939509743,11373.502256609238,1526.9940787728317,1060.3311728764354,0.0,3.354379019293552,1.6651888,"E1(ratio 0.9665): tight-duct early window not export-free (7mm ceiling current); ratio flat across 4.8x refinement = physical export not leak | E2(Co 1.6651888): adjustTimeStep lag on buoyant gap jets; PIMPLE stable, clean End",90.0002,
td_dtchk_sine_f0.10_A0.60_dt0.0125,899.9,304.920042,0.1962379999999939,0.0856982711273756,2.1070004566576555,11376.538265677344,1611.9601943243078,1335.47343108799,0.0,2.8203696313411686,0.53177842,,90.0002,799.9
td_bwd_dt0.0250_Q2,899.85,304.827253,0.2529700000000048,0.1086328131362182,2.1069979441005904,11375.892599993498,1579.3307056945907,1212.5407941624903,0.0,3.0464726431285283,1.0057988,E1(ratio 0.9695): tight-duct early window not export-free (7mm ceiling current); ratio flat across 4.8x refinement = physical export not leak,90.0002,
td_bwd_dt0.0500_nOC6_Q2,900.0,304.692198,0.2185359999999718,0.0893319798027072,2.1070054999999996,11377.829699999998,1550.9664111040177,1129.734153840228,0.0,3.3341271405456063,1.6290121,"E1(ratio 0.9667): tight-duct early window not export-free (7mm ceiling current); ratio flat across 4.8x refinement = physical export not leak | E2(Co 1.6290121): adjustTimeStep lag on buoyant gap jets; PIMPLE stable, clean End",90.0002,
td_bwd_dt0.0250_nOC6_Q2,899.875,304.836701,0.2414720000000443,0.1031795454373977,2.1069991996199007,11376.215428547748,1583.6382468129111,1234.4599439072615,0.0,3.066198545635579,1.0059226,E1(ratio 0.9693): tight-duct early window not export-free (7mm ceiling current); ratio flat across 4.8x refinement = physical export not leak,90.0002,
td_bwd_dt0.0500_nOC4_Q2,899.74204,304.66355,0.2187250000000062,0.0881603877060009,2.106992539694683,11374.498595578052,1544.012137254906,1109.5527884879275,0.0,3.337374289401196,1.6332654,"E1(ratio 0.9666): tight-duct early window not export-free (7mm ceiling current); ratio flat across 4.8x refinement = physical export not leak | E2(Co 1.6332654): adjustTimeStep lag on buoyant gap jets; PIMPLE stable, clean End",90.0002,
td_bwd_dt0.0125_Q2,899.9,305.109878,0.1861049999999977,0.0826122422478659,2.1070004566576555,11376.538265677344,1665.3072802808117,1523.9493292512257,0.0,2.554913688609961,0.52151425,,90.0002,
td_steady_f0.00_A0.00_Q1_C3,899.9,305.179402,0.2445930000000089,0.1033361301784194,2.1070004566576555,11376.538265677344,1683.701878869501,1581.5624316720798,0.0,4.675721562015922,0.48710191,E1(ratio 0.9532): tight-duct early window not export-free (7mm ceiling current); ratio flat across 4.8x refinement = physical export not leak,50.0001,
td_steady_f0.00_A0.00_Q2_C3,899.9,305.109878,0.1861049999999977,0.0826122422478659,2.1070004566576555,11376.538265677344,1665.3072802808117,1523.9493292512257,0.0,5.225573437689701,0.52151425,E1(ratio 0.9477): tight-duct early window not export-free (7mm ceiling current); ratio flat across 4.8x refinement = physical export not leak,90.0002,
td_steady_f0.00_A0.00_Q3_C3,899.9,304.986104,0.1154450000000224,0.0449538821448129,2.1070004566576555,11376.538265677344,1645.0214417147886,1470.7179756004375,0.0,6.080535376741592,0.51390144,E1(ratio 0.9392): tight-duct early window not export-free (7mm ceiling current); ratio flat across 4.8x refinement = physical export not leak,130.0003,
