case,waveform,Qbar_mLmin,freq_hz,amp,duty,dp_mean_Pa,Ppump_mean_W,Epump_J,Tmax_C,dT_module_K,sigmaT_K,Epump_visc_J,Epump_inert_J,Epump_model_J,dT_rel_pct,sigmaT_rel_pct,Tmax_delta_K,Epump_rel,Epump_meas_rel
sine_f0.10_A0.20_Q2_C3,sine,90.0,0.1,0.2,0.5,0.0378,8e-08,7.4e-05,31.95,0.183,0.08,7.46e-05,0.0,7.46e-05,-1.6129032258064502,-3.6144578313253017,-0.010000000000001563,1.0205198358413132,1.0136986301369864
sine_f0.10_A0.40_Q2_C3,sine,90.0,0.1,0.4,0.5,0.0396,9e-08,7.9e-05,31.949,0.187,0.08,7.89e-05,0.0,7.89e-05,0.5376344086021501,-3.6144578313253017,-0.010999999999999233,1.079343365253078,1.0821917808219177
sine_f0.10_A0.60_Q2_C3,sine,90.0,0.1,0.6,0.5,0.0404,1e-07,8.4e-05,31.948,0.193,0.082,8.62e-05,0.0,8.62e-05,3.7634408602150504,-1.2048192771084376,-0.012000000000000455,1.1792065663474691,1.1506849315068493
sine_f0.25_A0.20_Q2_C3,sine,90.0,0.25,0.2,0.5,0.041,9e-08,7.7e-05,31.951,0.184,0.082,7.46e-05,0.0,7.46e-05,-1.0752688172043001,-1.2048192771084376,-0.009000000000000341,1.0205198358413132,1.0547945205479452
sine_f0.25_A0.40_Q2_C3,sine,90.0,0.25,0.4,0.5,0.0422,1e-07,8.2e-05,31.957,0.186,0.082,7.89e-05,0.0,7.89e-05,0.0,-1.2048192771084376,-0.0030000000000001137,1.079343365253078,1.1232876712328768
sine_f0.25_A0.60_Q2_C3,sine,90.0,0.25,0.6,0.5,0.0564,1.4e-07,9.6e-05,31.349,0.22,0.09,8.62e-05,0.0,8.62e-05,18.279569892473123,8.43373493975903,-0.6110000000000007,1.1792065663474691,1.315068493150685
sine_f0.50_A0.20_Q2_C3,sine,90.0,0.5,0.2,0.5,0.0384,8e-08,7.5e-05,31.944,0.171,0.075,7.46e-05,0.0,7.46e-05,-8.064516129032251,-9.63855421686748,-0.01600000000000179,1.0205198358413132,1.0273972602739725
sine_f0.50_A0.40_Q2_C3,sine,90.0,0.5,0.4,0.5,0.0455,1e-07,8.5e-05,31.991,0.233,0.099,7.89e-05,0.0,7.89e-05,25.268817204301076,19.277108433734934,0.030999999999998806,1.079343365253078,1.1643835616438356
sine_f0.50_A0.60_Q2_C3,sine,90.0,0.5,0.6,0.5,0.0481,1.2e-07,9.4e-05,31.989,0.238,0.099,8.62e-05,0.0,8.62e-05,27.956989247311824,19.277108433734934,0.028999999999999915,1.1792065663474691,1.2876712328767124
sine_f1.00_A0.20_Q2_C3,sine,90.0,1.0,0.2,0.5,0.0462,1e-07,7.8e-05,31.999,0.234,0.096,7.46e-05,0.0,7.46e-05,25.806451612903224,15.662650602409634,0.038999999999997925,1.0205198358413132,1.0684931506849316
sine_f1.00_A0.40_Q2_C3,sine,90.0,1.0,0.4,0.5,0.0529,1.2e-07,8.4e-05,32.016,0.24,0.096,7.89e-05,0.0,7.89e-05,29.032258064516125,15.662650602409634,0.055999999999997385,1.079343365253078,1.1506849315068493
sine_f1.00_A0.60_Q2_C3,sine,90.0,1.0,0.6,0.5,0.0599,1.5e-07,9.9e-05,32.018,0.176,0.075,8.62e-05,0.0,8.62e-05,-5.376344086021511,-9.63855421686748,0.05799999999999983,1.1792065663474691,1.3561643835616437
sine_f2.00_A0.20_Q2_C3,sine,90.0,2.0,0.2,0.5,0.0649,1.5e-07,9.2e-05,31.831,0.229,0.102,7.46e-05,0.0,7.46e-05,23.118279569892476,22.891566265060238,-0.12900000000000134,1.0205198358413132,1.2602739726027397
sine_f2.00_A0.40_Q2_C3,sine,90.0,2.0,0.4,0.5,0.0764,1.7e-07,9.9e-05,32.058,0.157,0.066,7.89e-05,0.0,7.89e-05,-15.591397849462362,-20.481927710843372,0.09799999999999898,1.079343365253078,1.3561643835616437
sine_f2.00_A0.60_Q2_C3,sine,90.0,2.0,0.6,0.5,0.0927,2e-07,0.000111,32.043,0.146,0.066,8.62e-05,0.0,8.62e-05,-21.505376344086024,-20.481927710843372,0.08299999999999841,1.1792065663474691,1.5205479452054795
